reporting_year,facility_id,facility_name,city,state,zip_code,latitude,longitude,primary_naics_code,industry_type_subparts,industry_type_sectors,total_reported_direct_emissions_mtco2e,continuous_emissions_monitoring,source_system,evidence_class,data_classification
2023,1003427,"SUMITOMO RUBBER USA, LLC",TONAWANDA,NY,14150,42.969,-78.918,326211,C,Other,32665.628,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003429,INEOS NOVA LLC Texas City Site,TEXAS CITY,TX,77592,29.361045,-94.930351,325199,C,Chemicals,45654.342,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003433,Eastern Gas Transmission and Storage - Newark Station (Tran),Nashport,OH,43830,40.073889,-82.194858,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,28932.794,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003434,NOVELIS CORP - GREENSBORO,GREENSBORO,GA,30642,33.560283,-83.197522,331314,C,Metals,33165.024,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003435,Vernon Compressor Station,Jonesboro,LA,71251,32.290578,-92.626216,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,121744.904,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003436,Westdale Compressor Station,Coushatta,LA,71115,32.19855,-93.483151,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,1186.0,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003439,Covel Gardens Recycling and Disposal Facility,San Antonio,TX,78252,29.34358,-98.64637,562212,HH,Waste,175522.25,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003440,U S ARMY FORT BENNING MANEUVER CENTER OF EXCELLENCE,FORT BENNING,GA,31905,32.36561,-84.877639,928110,"C,HH",Waste,35665.918,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003441,"WORSHAM STEED GAS STORAGE, LLC",PERRIN,TX,76486,33.0875,-98.071667,486210,"C,W-PROC",Petroleum and Natural Gas Systems,39797.672,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003443,Eastern Gas Transmission and Storage - Crayne Station (Tran),Waynesburg,PA,15370,39.9197,-80.1232,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,19522.236,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003444,TYSON FOODS INCORPORATED,BERRYVILLE,AR,72616,36.370833,-93.570556,311615,C,Other,25456.104,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003446,Ada County Solid Waste Management,Boise,ID,83714,43.723526,-116.269298,562212,"C,HH",Waste,88399.964,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003447,UGC - DRAGON TRAIL GAS PLANT - 08-103-00036,RANGELY,CO,81648,39.859473,-108.915996,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",20046.236,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003448,"Alcon Vision, LLC",FORT WORTH,TX,76134,32.65733,-97.32096,325412,C,Chemicals,23131.164,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003449,KaMin LLC-Macon,MACON,GA,31217,32.71545,-83.498287,212323,C,Other,22783.264,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003450,Atkinson County - S.R. 50 MSW Landfill,Willachoochee,GA,31650,31.33676,-83.03276,562212,HH,Waste,58365.25,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003451,INEOS NOVA LLC BAYPORT SITE,PASADENA,TX,77507,29.60407,-95.01689,325211,C,Other,251492.904,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003452,"KMTP Station 581 Markham, TX",Bay City,TX,77414,28.99565,-96.15619,486210,"C,W-PROC,W-NGTC,W-UNSTG",Petroleum and Natural Gas Systems,26652.92,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003453,MOST INC,TROY,MO,63379,38.962791,-90.971733,331314,C,Metals,26628.7,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003454,WASTE CONNECTIONS - SOUTHSIDE LANDFILL,PUEBLO,CO,81005,38.22127,-104.708434,562212,"C,HH",Waste,36997.3,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003455,Eastern Gas Transmission and Storage - Leidy and Finnefrock Stations (Stor and Tran),Renovo,PA,17764,41.42571,-77.85304,486210,"C,W-NGTC,W-UNSTG",Petroleum and Natural Gas Systems,137147.764,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003456,ARDEN LDFL,WASHINGTON,PA,15301,40.208427,-80.264771,562212,"C,HH",Waste,21666.16,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003457,"Nucor Steel Tuscaloosa, Inc.",Tuscaloosa,AL,35404,33.23375,-87.50693,331110,"C,Q",Metals,199908.716,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003458,Dominion Energy Ohio - Robinson Station (Stor),CANTON,OH,44718,40.86417,-81.465,221210,"C,W-UNSTG",Petroleum and Natural Gas Systems,20180.634,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003460,GRAND CTL SANI,PEN ARGYL,PA,18072,40.853502,-75.257496,562212,"C,HH",Waste,51453.492,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
